Group,filopodia,thin,longthin,mushroom,stubby,bifurcated,motile,stable,total,GABAARs,Developmental Stage,Sex
L5-WT35-M,0,1,0,4,5,0,1,9,10,Yes,Pubertal,Male
L5-WT35-M,1,3,3,3,2,0,7,5,12,Yes,Pubertal,Male
L5-WT35-M,0,4,1,1,4,0,5,5,10,Yes,Pubertal,Male
L5-WT35-M,1,6,3,4,2,0,10,6,16,Yes,Pubertal,Male
L5-WT35-M,1,2,0,4,2,1,3,7,10,Yes,Pubertal,Male
L5-WT35-M,0,3,2,1,2,1,5,4,9,Yes,Pubertal,Male
L5-WT35-M,0,7,1,2,1,0,8,3,11,Yes,Pubertal,Male
L5-WT35-M,3,9,3,1,3,0,15,4,19,Yes,Pubertal,Male
L5-WT35-M,1,5,1,2,1,0,7,3,10,Yes,Pubertal,Male
L5-WT35-M,1,5,2,2,4,0,8,6,14,Yes,Pubertal,Male
L5-WT35-M,0,2,4,1,4,0,6,5,11,Yes,Pubertal,Male
L5-WT35-M,0,8,1,1,4,1,9,6,15,Yes,Pubertal,Male
L5-WT35-M,0,4,1,1,6,0,5,7,12,Yes,Pubertal,Male
L5-WT35-M,0,4,1,3,8,0,5,11,16,Yes,Pubertal,Male
L5-WT35-M,0,1,1,1,3,0,2,4,6,Yes,Pubertal,Male
L5-WT35-M,0,2,0,1,1,0,2,2,4,Yes,Pubertal,Male
L5-WT35-M,0,2,1,2,3,0,3,5,8,Yes,Pubertal,Male
L5-WT35-M,1,1,0,0,1,0,2,1,3,Yes,Pubertal,Male
L5-WT35-M,0,9,3,3,4,0,12,7,19,Yes,Pubertal,Male
L5-WT35-M,1,5,4,2,1,0,10,3,13,Yes,Pubertal,Male
L5-WT35-M,2,2,1,3,1,0,5,4,9,Yes,Pubertal,Male
L5-WT35-M,1,7,4,0,1,0,12,1,13,Yes,Pubertal,Male
L5-WT35-M,1,5,3,4,3,0,9,7,16,Yes,Pubertal,Male
L5-WT35-M,0,10,0,3,2,0,10,5,15,Yes,Pubertal,Male
L5-WT35-M,2,8,4,1,4,0,14,5,19,Yes,Pubertal,Male
L5-WT35-M,1,8,1,2,1,0,10,3,13,Yes,Pubertal,Male
L5-WT35-M,1,11,3,3,2,1,15,6,21,Yes,Pubertal,Male
L5-WT35-M,0,4,3,2,2,0,7,4,11,Yes,Pubertal,Male
L5-WT35-M,0,10,2,1,1,0,12,2,14,Yes,Pubertal,Male
L5-WT35-M,0,6,1,4,5,1,7,10,17,Yes,Pubertal,Male
L5-WT35-M,0,2,0,1,7,0,2,8,10,Yes,Pubertal,Male
L5-WT35-M,0,3,0,4,2,0,3,6,9,Yes,Pubertal,Male
L5-WT35-M,0,5,0,2,0,1,5,3,8,Yes,Pubertal,Male
L5-WT35-M,0,3,2,5,1,0,5,6,11,Yes,Pubertal,Male
L5-WT56-M,0,3,1,1,1,0,4,2,6,Yes,Postpubertal,Male
L5-WT56-M,0,2,1,3,1,0,3,4,7,Yes,Postpubertal,Male
L5-WT56-M,0,0,0,0,2,0,0,2,2,Yes,Postpubertal,Male
L5-WT56-M,2,4,0,0,1,0,6,1,7,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,0,2,0,1,2,3,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,2,2,0,1,4,5,Yes,Postpubertal,Male
