Group,filopodia,thin,longthin,mushroom,stubby,bifurcated,motile,stable,total,GABAARs,Developmental Stage,Sex
L5-KO56-F,0.623614191,5.820399113,2.70232816,2.70232816,1.039356984,0.415742794,9.146341463,4.157427938,13.3037694,No,Postpubertal,Female
L5-KO56-F,0.718218817,3.591094087,2.872875269,0.478812545,0.239406272,0.718218817,7.182188173,1.436437635,8.618625808,No,Postpubertal,Female
L5-KO56-F,0.324254215,3.566796368,4.539559014,2.594033722,1.621271077,0.324254215,8.430609598,4.539559014,12.97016861,No,Postpubertal,Female
L5-KO56-F,0,2.036383383,1.629106706,1.22183003,0.814553353,0.407276677,3.66549009,2.44366006,6.109150149,No,Postpubertal,Female
L5-KO56-F,0.235941801,1.179709005,0.707825403,0.235941801,0.943767204,0,2.123476209,1.179709005,3.303185214,No,Postpubertal,Female
L5-KO56-F,1.721311475,4.426229508,2.459016393,1.475409836,0.737704918,0.491803279,8.606557377,2.704918033,11.31147541,No,Postpubertal,Female
L5-KO56-F,0.474946569,4.274519117,1.899786274,1.424839706,0.712419853,0,6.649251959,2.137259558,8.786511517,No,Postpubertal,Female
L5-KO56-F,1.882766411,3.765532823,1.506213129,0.753106565,1.506213129,0,7.154512363,2.259319694,9.413832057,No,Postpubertal,Female
L5-KO56-F,0,5.994005994,2.535925613,1.383232152,0.691616076,0.230538692,8.529931607,2.305386921,10.83531853,No,Postpubertal,Female
L5-KO56-F,0,2.405773857,5.155229694,4.467865735,1.374727918,0.687363959,7.561003551,6.529957613,14.09096116,No,Postpubertal,Female
L5-KO56-F,0.273972603,5.479452055,3.561643836,2.465753425,1.369863014,0.547945205,9.315068493,4.383561644,13.69863014,No,Postpubertal,Female
L5-KO56-F,2,2,0,8,2,0,4,10,14,No,Postpubertal,Female
L5-KO56-F,2,1,3,6,2,1,6,9,15,No,Postpubertal,Female
L5-KO56-F,3,0,1,12,0,0,4,12,16,No,Postpubertal,Female
L5-KO56-F,0,1,0,10,4,0,1,14,15,No,Postpubertal,Female
L5-KO56-F,3.11807,14.34313,6.65188,4.3653,2.87829,1.23355,24.11308,8.47714,32.59022,No,Postpubertal,Female
L5-KO56-F,1.67584,10.77328,5.02753,2.87288,3.61156,1.20385,17.47665,7.68829,25.16494,No,Postpubertal,Female
L5-KO56-F,0.64851,7.7821,8.43061,4.2153,2.31857,1.15929,16.86122,7.69316,24.55438,No,Postpubertal,Female
L5-KO56-F,0,6.51643,2.03638,2.03638,3.23578,1.07859,8.55281,6.35075,14.90356,No,Postpubertal,Female
L5-KO56-F,1.17971,9.67361,1.41565,0.94377,1.91022,0,12.26897,2.85399,15.12296,No,Postpubertal,Female
L5-KO56-F,1.72131,11.80328,5.40984,3.68852,1.813,0.518,18.93443,6.01952,24.95395,No,Postpubertal,Female
L5-KO56-F,1.18737,9.02398,3.32463,4.03705,1.5932,0.59745,13.53598,6.2277,19.76368,No,Postpubertal,Female
L5-KO56-F,3.01243,7.90762,3.38898,3.01243,3.22928,0.80732,14.30903,7.04903,21.35806,No,Postpubertal,Female
L5-KO56-F,0.92215,15.21555,5.07185,4.61077,2.76269,1.38134,21.20955,8.7548,29.96435,No,Postpubertal,Female
L5-KO56-F,0.34368,6.18628,7.561,6.52996,4.22893,0.63434,14.09096,11.39323,25.48419,No,Postpubertal,Female
L5-KO56-F,1.64384,12.32877,6.0274,4.65753,5.5884,0.9719,20.00001,11.21783,31.21784,No,Postpubertal,Female
L5-KO56-M,0,6,2,3,1,0,8,4,12,No,Postpubertal,Female
L5-KO56-M,1,6,0,2,0,2,7,4,11,No,Postpubertal,Male
L5-KO56-M,1,7,0,3,2,1,8,6,14,No,Postpubertal,Male
L5-KO56-M,0,2,1,4,3,0,3,7,10,No,Postpubertal,Male
L5-KO56-M,1,8,2,4,1,1,11,6,17,No,Postpubertal,Male
L5-KO56-M,0,1,1,2,2,0,2,4,6,No,Postpubertal,Male
L5-KO56-M,0,5,0,1,3,1,5,5,10,No,Postpubertal,Male
L5-KO56-M,0,3,2,2,1,0,5,3,8,No,Postpubertal,Male
L5-KO56-M,0,4,0,0,2,0,4,2,6,No,Postpubertal,Male
L5-KO56-M,0,6,0,1,2,0,6,3,9,No,Postpubertal,Male
L5-KO56-M,1,1,0,2,2,0,2,4,6,No,Postpubertal,Male
L5-KO56-M,2,5,0,0,3,2,7,5,12,No,Postpubertal,Male
L5-KO56-M,0,3,1,7,2,0,4,9,13,No,Postpubertal,Male
L5-KO56-M,1,3,0,5,2,0,4,7,11,No,Postpubertal,Male
L5-KO56-M,1,3,1,2,2,0,5,4,9,No,Postpubertal,Male
L5-KO56-M,1,3,1,5,2,0,5,7,12,No,Postpubertal,Male
L5-KO56-M,0,5,2,2,1,0,7,3,10,No,Postpubertal,Male
L5-KO56-M,2,9,1,3,3,0,12,6,18,No,Postpubertal,Male
L5-KO56-M,1,9,0,0,2,1,10,3,13,No,Postpubertal,Male
L5-KO56-M,0,7,3,2,1,0,10,3,13,No,Postpubertal,Male
L5-KO56-M,0,3,0,4,3,1,3,8,11,No,Postpubertal,Male
L5-KO56-M,0,4,3,0,1,0,7,1,8,No,Postpubertal,Male
L5-KO56-M,0,8,0,1,5,0,8,6,14,No,Postpubertal,Male
L5-KO56-M,0,5,0,4,2,0,5,6,11,No,Postpubertal,Male
L5-KO56-M,1,9,0,3,0,0,10,3,13,No,Postpubertal,Male
